txtFieldNote,intControl,txtPDFExists,txtFileNo,txtType
1-249,1028606,Y,SC 000011:50,E
25-Jan,1027977,Y,SC 000001:31,E
1-252,1028828,Y,SC 000016:12,E
1-252.5,1028579,Y,SC 000011:23,E
1-254,1028505,Y,SC 000010:12,E
1-255.5,1028222,Y,SC 000005:23,E
1-256.5,1028034,Y,SC 000002:17,E
1-258,1028011,Y,SC 000001:65,E
26-Jan,1027978,Y,SC 000001:32,E
1-260,1028229,Y,SC 000005:30,E
1-262,1028011,Y,SC 000001:65,E
1-262,1028222,Y,SC 000005:23,E
1-263,1028275,Y,SC 000006:21,E
1-266,1028961,Y,SC 000018:58,E
27-Jan,1027982,Y,SC 000001:36,E
1-270,1028714,Y,SC 000013:39,E
1-272,1028715,Y,SC 000013:40,E
1-273,1028740,Y,SC 000014:21,E
1-274,1028099,Y,SC 000003:12,E
1-275,1028101,Y,SC 000003:14,E
28-Jan,1028028,Y,SC 000002:11,E
1-28.5,1028028,Y,SC 000002:11,E
3-Jan,1028116,Y,SC 000003:29,E
3-Jan,1028199,Y,SC 000004:54,E
1-3.5,1028116,Y,SC 000003:29,E
30-Jan,1027984,Y,SC 000001:38,E
31-Jan,1027981,Y,SC 000001:35,E
1-31.5,1027981,Y,SC 000001:35,E
Jan-33,1027994,Y,SC 000001:48,E
Jan-34,1028151,Y,SC 000004:6,E
Jan-37,1028151,Y,SC 000004:6,E
Jan-38,1027976,Y,SC 000001:30,E
4-Jan,1027969,Y,SC 000001:23,E
Jan-40,1028278,Y,SC 000006:24,E
Jan-41,1028241,Y,SC 000005:42,E
1-41.5,1028243,Y,SC 000005:44,E
1-41.75,1028250,y,SC 000005:51,E
Jan-44,1028248,Y,SC 000005:49,E
Jan-46,1027989,y,SC 000001:43,E
1-46.5,1027989,Y,SC 000001:43,E
Jan-47,1027991,y,SC 000001:45,E
1-47.5,1027991,Y,SC 000001:45,E
Jan-48,1027987,Y,SC 000001:41,E
Jan-49,1027990,Y,SC 000001:44,E
5-Jan,1027986,Y,SC 000001:40,E
5-Jan,1027997,Y,SC 000001:51,E
5-Jan,1028176,Y,SC 000004:31,E
5-Jan,1028227,Y,SC 000005:28,E
Jan-50,1027993,Y,SC 000001:47,E
Jan-51,1028085,Y,SC 000002:68,E
Jan-52,1027997,Y,SC 000001:51,E
Jan-53,1027986,Y,SC 000001:40,E
Jan-54,1028176,Y,SC 000004:31,E
Jan-54,1028679,Y,SC 000013:4,E
Jan-55,1028019,Y,SC 000002:2,E
Jan-56,1028019,Y,SC 000002:2,E
Jan-57,1028227,Y,SC 000005:28,E
Jan-58,1028001,Y,SC 000001:55,E
Jan-59,1028141,Y,SC 000003:54,E
6-Jan,1027968,Y,SC 000001:22,E
Jan-61,1028132,Y,SC 000003:45,E
Jan-62,1028132,Y,SC 000003:45,E
Jan-63,1028593,Y,SC 000011:37,E
Jan-64,1027985,Y,SC 000001:39,E
Jan-65,1027985,Y,SC 000001:39,E
Jan-67,1028067,Y,SC 000002:50,E
Jan-68,1028570,Y,SC 000011:14,E
Jan-69,1028136,Y,SC 000003:49,E
7-Jan,1028505,Y,SC 000010:12,E
Jan-75,1027972,Y,SC 000001:26,E
Jan-76,1028005,Y,SC 000001:59,E
Jan-79,1028005,Y,SC 000001:59,E
8-Jan,1027967,Y,SC 000001:21,E
8-Jan,1028252,Y,SC 000005:53,E
Jan-84,1028252,Y,SC 000005:53,E
Jan-85,1028003,Y,SC 000001:57,E
Jan-87,1028623,Y,SC 000012:5,E
Jan-89,1028114,Y,SC 000003:27,E
9-Jan,1027966,Y,SC 000001:20,E
1-9.5,1028774,Y,SC 000015:5,E
Jan-90,1028937,Y,SC 000018:34,E
Jan-91,1028640,Y,SC 000012:22,E
Jan-92,1028485,Y,SC 000009:57,E
Jan-93,1028612,Y,SC 000011:56,E
1-93.5,1028596,Y,SC 000011:40,E
Jan-94,1028707,Y,SC 000013:32,E
Jan-95,1028002,Y,SC 000001:56,E
Jan-96,1028162,Y,SC 000004:17,E
Jan-97,1028004,Y,SC 000001:58,E
Jan-98,1028045,Y,SC 000002:28,E
Jan-99,1028088,Y,SC 000003:1,E
Jan-99,1028182,Y,SC 000004:37,E
10-100,1028436,Y,SC 000009:8,E
10-101,1028412,Y,SC 000008:48,E
10-102,1028431,Y,SC 000009:3,E
10-103,1028438,Y,SC 000009:10,E
10-105,1028439,Y,SC 000009:11,E
10-107,1028425,Y,SC 000008:61,E
10-108,1028427,Y,SC 000008:63,E
10-108.5,1028464,Y,SC 000009:36,E
10-109.5,1028413,Y,SC 000008:49,E
10-110,1028414,Y,SC 000008:50,E
10-111,1028426,Y,SC 000008:62,E
10-113,1028428,Y,SC 000008:64,E
10-116,1028480,Y,SC 000009:52,E
10-117,1028555,Y,SC 000010:62,E
10-118,1028445,Y,SC 000009:17,E
10-119,1028434,Y,SC 000009:6,E
10-120,1028434,Y,SC 000009:6,E
10-123,1027947,Y,SC 000001:1,E
10-124,1028267,Y,SC 000006:13,E
10-125,1028272,Y,SC 000006:18,E
10-126,1028274,Y,SC 000006:20,E
10-126,1028282,Y,SC 000006:28,E
10-128,1028363,Y,SC 000007:54,E
10-128,1028372,Y,SC 000008:8,E
10-129,1028273,Y,SC 000006:19,E
10-131,1028286,Y,SC 000006:32,E
10-133,1028276,Y,SC 000006:22,E
10-134,1028277,Y,SC 000006:23,E
10-135,1028279,Y,SC 000006:25,E
10-136,1028300,Y,SC 000006:46,E
10-138,1028362,Y,SC 000007:53,E
10-139,1028271,Y,SC 000006:17,E
10-140,1028263,Y,SC 000006:9,E
10-141,1028318,Y,SC 000007:9,E
10-142,1028329,Y,SC 000007:20,E
10-142,1028809,Y,SC 000015:40,E
10-144,1028718,Y,SC 000013:43,E
10-144,1028973,Y,SC 000019:7,E
10-146,1028286,Y,SC 000006:32,E
10-148,1028267,Y,SC 000006:13,E
10-150,1028298,Y,SC 000006:44,E
10-152,1028039,Y,SC 000002:22,E
10-154,1027976,Y,SC 000001:30,E
10-155,1028312,Y,SC 000007:3,E
10-156,1028321,Y,SC 000007:12,E
10-157,1028364,Y,SC 000007:55,E
10-158,1028337,Y,SC 000007:28,E
10-158,1028361,Y,SC 000007:52,E
10-160,1028283,Y,SC 000006:29,E
10-164,1028341,Y,SC 000007:32,E
10-166,1028297,Y,SC 000006:43,E
10-167,1028314,Y,SC 000007:5,E
10-168,1028355,Y,SC 000007:46,E
10-170,1028304,Y,SC 000006:50,E
10-171,1028342,Y,SC 000007:33,E
10-172,1028179,Y,SC 000004:34,E
10-174,1028373,Y,SC 000008:9,E
10-176,1028361,Y,SC 000007:52,E
10-176,1028786,Y,SC 000015:17,E
10-177,1028350,Y,SC 000007:41,E
10-177,1028361,Y,SC 000007:52,E
10-178,1028338,Y,SC 000007:29,E
10-179,1028307,Y,SC 000006:53,E
10-180,1028352,Y,SC 000007:43,E
10-183,1028064,Y,SC 000002:47,E
10-184,1028066,Y,SC 000002:49,E
10-186,1028252,Y,SC 000005:53,E
10-188,1028423,Y,SC 000008:59,E
10-189,1028437,Y,SC 000009:9,E
10-189,1034049,Y,SC 000106:3,E
10-190,1028113,Y,SC 000003:26,E
10-191,1028435,Y,SC 000009:7,E
10-192,1028342,Y,SC 000007:33,E
10-194,1028304,Y,SC 000006:50,E
10-195,1028577,Y,SC 000011:21,E
10-197,1029035,Y,SC 000020:24,E
10-198,1028481,Y,SC 000009:53,E
10-199,1028016,Y,SC 000001:70,E
10-200,1028626,Y,SC 000012:8,E
10-202,1028599,Y,SC 000011:43,E
10-204,1028586,Y,SC 000011:30,E
10-206,1028537,Y,SC 000010:44,E
10-208,1028614,Y,SC 000011:58,E
10-209,1028306,Y,SC 000006:52,E
10-211,1028459,Y,SC 000009:31,E
10-211,1028711,Y,SC 000013:36,E
10-213,1028346,Y,SC 000007:37,E
10-214,1028353,Y,SC 000007:44,E
10-217,1028509,Y,SC 000010:16,E
10-219,1028357,Y,SC 000007:48,E
10-221,1028665,Y,SC 000012:47,E
10-223,1028940,Y,SC 000018:37,E
10-223,1029147,Y,SC 000022:13,E
10-225,1028356,Y,SC 000007:47,E
10-227,1028510,Y,SC 000010:17,E
10-229,1028528,Y,SC 000010:35,E
10-231,1028971,Y,SC 000019:5,E
10-233,1028633,Y,SC 000012:15,E
10-237,1028643,Y,SC 000012:25,E
10-237,1029131,Y,SC 000021:76,E
10-238,1028622,Y,SC 000012:4,E
24-Oct,1029137,Y,SC 000022:3,E
10-240,1028610,Y,SC 000011:54,E
10-249,1028741,Y,SC 000014:22,E
25-Oct,1029137,Y,SC 000022:3,E
10-250,1028723,Y,SC 000014:4,E
10-251,1028847,Y,SC 000016:31,E
10-254,1028902,Y,SC 000017:42,E
10-256,1028765,Y,SC 000014:46,E
10-260,1028777,Y,SC 000015:8,E
10-269,1028829,Y,SC 000016:13,E
10-270,1028788,Y,SC 000015:19,E
10-272,1028806,Y,SC 000015:37,E
10-274,1028778,Y,SC 000015:9,E
10-277,1028805,Y,SC 000015:36,E
10-278,1028804,Y,SC 000015:35,E
10-279,1028803,Y,SC 000015:34,E
10-280,1028733,Y,SC 000014:14,E
10-282,1028757,Y,SC 000014:38,E
10-283,1028743,Y,SC 000014:24,E
10-283,1028787,Y,SC 000015:18,E
10-284,1028760,Y,SC 000014:41,E
10-285,1028886,Y,SC 000017:26,E
10-288,1028036,Y,SC 000002:19,E
10-289,1028035,Y,SC 000002:18,E
10-290,1028720,Y,SC 000014:1,E
10-291,1028761,Y,SC 000014:42,E
10-293,1028770,Y,SC 000015:1,E
10-294,1028797,Y,SC 000015:28,E
10-295,1028780,Y,SC 000015:11,E
10-296,1028779,Y,SC 000015:10,E
10-298,1028746,Y,SC 000014:27,E
10-299,1028762,Y,SC 000014:43,E
3-Oct,1027992,Y,SC 000001:46,E
10-300,1028794,Y,SC 000015:25,E
10-301,1028843,Y,SC 000016:27,E
10-302,1028798,Y,SC 000015:29,E
10-304,1028275,Y,SC 000006:21,E
10-305,1028595,Y,SC 000011:39,E
10-307,1028471,Y,SC 000009:43,E
10-308,1028569,Y,SC 000011:13,E
10-309,1028789,Y,SC 000015:20,E
10-311,1028726,Y,SC 000014:7,E
10-312,1028588,Y,SC 000011:32,E
10-314,1028602,Y,SC 000011:46,E
10-315,1028524,Y,SC 000010:31,E
10-316,1028603,Y,SC 000011:47,E
Oct-32,1028319,Y,SC 000007:10,E
Oct-35,1029134,Y,SC 000021:79,E
Oct-37,1028678,Y,SC 000013:3,E
Oct-39,1029137,Y,SC 000022:3,E
Oct-46,1029116,Y,SC 000021:61,E
Oct-47,1029117,Y,SC 000021:62,E
Oct-52,1028343,Y,SC 000007:34,E
Oct-55,1028278,Y,SC 000006:24,E
Oct-57,1028313,Y,SC 000007:4,E
Oct-63,1028290,Y,SC 000006:36,E
Oct-65,1028293,Y,SC 000006:39,E
Oct-66,1028311,Y,SC 000007:2,E
Oct-66,1029132,Y,SC 000021:77,E
Oct-68,1028299,Y,SC 000006:45,E
Oct-79,1028303,Y,SC 000006:49,E
8-Oct,1027990,Y,SC 000001:44,E
Oct-82,1028292,Y,SC 000006:38,E
Oct-84,1028344,Y,SC 000007:35,E
Oct-86,1028320,Y,SC 000007:11,E
Oct-88,1028317,Y,SC 000007:8,E
Oct-90,1028327,Y,SC 000007:18,E
Oct-92,1028319,Y,SC 000007:10,E
Oct-98,1028432,Y,SC 000009:4,E
Oct-99,1028433,Y,SC 000009:5,E
101-16,1078763,Y,SC 00101:16,C
102-35-1,1034008,Y,SC 000102:35,C
103-11-2018,1077928,Y,SC 000103:11_2018,C
103-11-2020,1076235,Y,SC 000103:11_2020,C
103-14,1034024,Y,SC 000103:14,C
11-103,1028138,Y,SC 000003:51,E
11-105,1028165,Y,SC 000004:20,E
11-106,1028159,Y,SC 000004:14,E
11-108,1028019,Y,SC 000002:2,E
11-109,1028019,Y,SC 000002:2,E
11-110,1028718,Y,SC 000013:43,E
11-111,1027949,Y,SC 000001:3,E
11-111,1028029,Y,SC 000002:12,E
11-112,1028718,Y,SC 000013:43,E
11-113,1028144,Y,SC 000003:57,E
11-114,1028094,Y,SC 000003:7,E
11-115,1027948,Y,SC 000001:2,E
11-116,1028141,Y,SC 000003:54,E
11-117,1027948,Y,SC 000001:2,E
12-Nov,1027951,Y,SC 000001:5,E
11-120,1027970,Y,SC 000001:24,E
11-121,1027956,Y,SC 000001:10,E
11-125,1027970,Y,SC 000001:24,E
11-125,1028130,Y,SC 000003:43,E
11-126,1028078,Y,SC 000002:61,E
11-131,1028141,Y,SC 000003:54,E
11-132,1027963,Y,SC 000001:17,E
11-169,1027951,Y,SC 000001:5,E
11-169,1027957,Y,SC 000001:11,E
11-171,1028727,Y,SC 000014:8,E
11-173,1028199,Y,SC 000004:54,E
11-174,1028066,Y,SC 000002:49,E
11-178,1027951,Y,SC 000001:5,E
11-180,1028258,Y,SC 000006:4,E
11-183,1028116,Y,SC 000003:29,E
11-192,1027974,Y,SC 000001:28,E
11-197,1027971,Y,SC 000001:25,E
11-197,1027972,Y,SC 000001:26,E
11-199,1028020,Y,SC 000002:3,E
11-201,1028124,Y,SC 000003:37,E
11-203,1027975,Y,SC 000001:29,E
11-203,1027979,Y,SC 000001:33,E
11-205,1027977,Y,SC 000001:31,E
11-205,1027980,Y,SC 000001:34,E
22-Nov,1028095,Y,SC 000003:8,E
11-222,1027956,Y,SC 000001:10,E
11-227,1027994,Y,SC 000001:48,E
11-234,1027987,Y,SC 000001:41,E
11-236,1027990,Y,SC 000001:44,E
11-238,1027971,Y,SC 000001:25,E
11-238,1027972,Y,SC 000001:26,E
11-242,1028020,Y,SC 000002:3,E
11-242,1028124,Y,SC 000003:37,E
11-242,1028165,Y,SC 000004:20,E
11-247,1027975,Y,SC 000001:29,E
11-247,1027979,Y,SC 000001:33,E
11-252,1027977,Y,SC 000001:31,E
11-252,1027980,Y,SC 000001:34,E
11-261,1027981,Y,SC 000001:35,E
11-291,1027997,Y,SC 000001:51,E
11-294,1028176,Y,SC 000004:31,E
11-297,1027986,Y,SC 000001:40,E
11-300,1028227,Y,SC 000005:28,E
11-303,1028019,Y,SC 000002:2,E
Nov-31,1028095,Y,SC 000003:8,E
11-315,1027959,Y,SC 000001:13,E
11-326,1027969,Y,SC 000001:23,E
11-339,1027974,Y,SC 000001:28,E
11-341,1027974,Y,SC 000001:28,E
11-391,1028141,Y,SC 000003:54,E
11-392,1028175,Y,SC 000004:30,E
11-397,1028203,Y,SC 000005:4,E
Nov-47,1028090,Y,SC 000003:3,E
Nov-47,1028689,Y,SC 000013:14,E
Nov-49,1028110,Y,SC 000003:23,E
Nov-50,1028104,Y,SC 000003:17,E
Nov-51,1028126,Y,SC 000003:39,E
Nov-52,1028027,Y,SC 000002:10,E
Nov-54,1028108,Y,SC 000003:21,E
Nov-55,1028026,Y,SC 000002:9,E
Nov-56,1028094,Y,SC 000003:7,E
Nov-57,1028072,Y,SC 000002:55,E
Nov-58,1028102,Y,SC 000003:15,E
Nov-58,1028130,Y,SC 000003:43,E
Nov-61,1028033,Y,SC 000002:16,E
Nov-63,1028077,Y,SC 000002:60,E
Nov-67,1028066,Y,SC 000002:49,E
Nov-68,1027951,Y,SC 000001:5,E
Nov-69,1027951,Y,SC 000001:5,E
Nov-70,1028220,Y,SC 000005:21,E
Nov-73,1028196,Y,SC 000004:51,E
Nov-77,1028160,Y,SC 000004:15,E
Nov-79,1027958,Y,SC 000001:12,E
Nov-81,1028249,Y,SC 000005:50,E
Nov-83,1028245,Y,SC 000005:46,E
Nov-85,1028164,Y,SC 000004:19,E
Nov-87,1028125,Y,SC 000003:38,E
Nov-87,1029139,Y,SC 000022:5,E
Nov-89,1027963,Y,SC 000001:17,E
Nov-91,1027949,Y,SC 000001:3,E
Nov-93,1027970,Y,SC 000001:24,E
Nov-95,1027960,Y,SC 000001:14,E
Nov-98,1027961,Y,SC 000001:15,E
114-5-DOC1,1077929,Y,SC 000114:5,C
114-5-DOC2,1076236,Y,SC 000114:5,C
114-5-DOC3,1076237,Y,SC 000114:5,C
114-5-DOC4,1076238,Y,SC 000114:5,C
114-5-DOC5,1076239,Y,SC 000114:5,C
114-5-DOC6,1076240,Y,SC 000114:5,C
116-4-1565,1077930,Y,SC 000116:4,C
117-18-123,1034385,Y,SC 000117:18,C
117-19-27,1034386,Y,SC 000117:19,C
117-20-65,1034387,Y,SC 000117:20,C
117-21-33,1034388,Y,SC 000117:21,C
117-22-167,1034389,Y,SC 000117:22,C
117-23-171,1034390,Y,SC 000117:23,C
117-24-183,1034391,Y,SC 000117:24,C
117-25-213,1077931,Y,SC 000117:25,C
117-25-219,1076241,Y,SC 000117:25,C
117-26-221,1034393,Y,SC 000117:26,C
117-27-229,1034394,Y,SC 000117:27,C
117-28-113,1034395,Y,SC 000117:28,C
117-29-39,1034396,Y,SC 000117:29,C
117-30-149,1034397,Y,SC 000117:30,C
117-31-117,1034398,Y,SC 000117:31,C
117-32-301,1034399,Y,SC 000117:32,C
117-33-119,1034400,Y,SC 000117:33,C
117-34-317,1034401,Y,SC 000117:34,C
117-35-343,1034402,Y,SC 000117:35,C
117-36-335,1077932,Y,SC 000117:36,C
117-36-341,1076242,Y,SC 000117:36,C
118-1,1034404,Y,SC 000118:1,C
118-2-1,1078251,y,SC 000118:2,C
118-2-2,1076243,Y,SC 000118:2,C
118-2-3,1076244,Y,SC 000118:2,C
118-2-4,1076245,Y,SC 000118:2,C
118-3-1,1078252,Y,SC 000118:3,C
118-3-2,1076246,Y,SC 000118:3,C
118-3-3,1076247,Y,SC 000118:3,C
118-3-4,1076248,Y,SC 000118:3,C
118-3-5,1076249,Y,SC 000118:3,C
118-4-1,1078253,y,SC 000118:4,C
118-4-10,1076267,Y,SC 000118:4,C
118-4-11,1076269,Y,SC 000118:4,C
118-4-12,1076270,Y,SC 000118:4,C
118-4-13,1076271,Y,SC 000118:4,C
118-4-14,1076272,Y,SC 000118:4,C
118-4-15,1076273,Y,SC 000118:4,C
118-4-16,1076274,Y,SC 000118:4,C
118-4-17,1076275,Y,SC 000118:4,C
118-4-18,1076276,Y,SC 000118:4,C
118-4-19,1076277,Y,SC 000118:4,C
118-4-2,1076250,Y,SC 000118:4,C
118-4-20,1076278,Y,SC 000118:4,C
118-4-21,1076279,Y,SC 000118:4,C
118-4-22,1076280,Y,SC 000118:4,C
118-4-23,1076281,Y,SC 000118:4,C
118-4-24,1076282,Y,SC 000118:4,C
118-4-25,1076283,Y,SC 000118:4,C
118-4-26,1076284,Y,SC 000118:4,C
118-4-27,1076285,Y,SC 000118:4,C
118-4-28,1076286,Y,SC 000118:4,C
118-4-29,1076287,Y,SC 000118:4,C
118-4-3,1076251,Y,SC 000118:4,C
118-4-30,1076288,Y,SC 000118:4,C
118-4-31,1076289,Y,SC 000118:4,C
118-4-32,1076290,Y,SC 000118:4,C
118-4-33,1076291,Y,SC 000118:4,C
118-4-34,1076292,Y,SC 000118:4,C
118-4-35,1076293,Y,SC 000118:4,C
118-4-36,1076294,Y,SC 000118:4,C
118-4-37,1076295,Y,SC 000118:4,C
118-4-38,1076296,Y,SC 000118:4,C
118-4-39,1076297,Y,SC 000118:4,C
118-4-4,1076252,Y,SC 000118:4,C
118-4-40,1076298,Y,SC 000118:4,C
118-4-41,1076299,Y,SC 000118:4,C
118-4-42,1076300,Y,SC 000118:4,C
118-4-43,1076301,Y,SC 000118:4,C
118-4-44,1076302,Y,SC 000118:4,C
118-4-45,1076303,Y,SC 000118:4,C
118-4-46,1076304,Y,SC 000118:4,C
118-4-47,1076305,Y,SC 000118:4,C
118-4-48,1076306,Y,SC 000118:4,C
118-4-49,1076307,Y,SC 000118:4,C
118-4-5,1076253,Y,SC 000118:4,C
118-4-50,1076308,Y,SC 000118:4,C
118-4-51,1076309,Y,SC 000118:4,C
118-4-6,1076254,Y,SC 000118:4,C
118-4-7,1076255,Y,SC 000118:4,C
118-4-8,1076256,Y,SC 000118:4,C
118-4-9,1076257,Y,SC 000118:4,C
118-5-1,1078254,y,SC 000118:5,C
118-5-10,1076318,Y,SC 000118:5,C
118-5-2,1076310,Y,SC 000118:5,C
118-5-3,1076311,Y,SC 000118:5,C
118-5-4,1076312,Y,SC 000118:5,C
118-5-5,1076313,Y,SC 000118:5,C
118-5-6,1076314,Y,SC 000118:5,C
118-5-7,1076315,Y,SC 000118:5,C
118-5-8,1076316,Y,SC 000118:5,C
118-5-9,1076317,Y,SC 000118:5,C
118-6-1,1078259,y,SC 000118:6,C
118-6-2,1076319,Y,SC 000118:6,C
118-6-3,1076320,Y,SC 000118:6,C
118-6-4,1076321,Y,SC 000118:6,C
118-6-5,1076322,Y,SC 000118:6,C
118-6-6,1076323,Y,SC 000118:6,C
118-6-7,1076324,Y,SC 000118:6,C
118-7-1,1078260,Y,SC 000118:7,C
118-7-10,1076333,Y,SC 000118:7,C
118-7-11,1076334,Y,SC 000118:7,C
118-7-12,1076335,Y,SC 000118:7,C
118-7-13,1076336,Y,SC 000118:7,C
118-7-14,1076337,Y,SC 000118:7,C
118-7-2,1076325,Y,SC 000118:7,C
118-7-3,1076326,Y,SC 000118:7,C
118-7-4,1076327,Y,SC 000118:7,C
118-7-5,1076328,Y,SC 000118:7,C
118-7-6,1076329,Y,SC 000118:7,C
118-7-7,1076330,Y,SC 000118:7,C
118-7-8,1076331,Y,SC 000118:7,C
118-7-9,1076332,Y,SC 000118:7,C
118-8-1,1078261,Y,SC 000118:8,C
